problem_id,game,target,studyType
2225.0,PEAGAME,얘들,0
2226.0,PEAGAME,훼방,0
2227.0,PEAGAME,식혜,0
2228.0,PEAGAME,걔를,0
2229.0,VENDINGMACHINEGA,예절,1
2230.0,VENDINGMACHINEGA,세계,1
2231.0,VENDINGMACHINEGA,왜요,1
2232.0,VENDINGMACHINEGA,얘기,1
2233.0,VENDINGMACHINEGA,계절,1
2234.0,PEAGAME,세계,0
2235.0,PEAGAME,봬요,0
2236.0,PEAGAME,예약,0
2237.0,PEAGAME,돼지,0
2238.0,PEAGAME,얘기,0
2239.0,VENDINGMACHINEGA,얘기해,1
2240.0,VENDINGMACHINEGA,체온계,1
2241.0,VENDINGMACHINEGA,꽹과리,1
2242.0,VENDINGMACHINEGA,웨이터,1
2243.0,VENDINGMACHINEGA,뭐예요,1
2244.0,PEAGAME,안돼요,0
2245.0,PEAGAME,와르르,0
2246.0,PEAGAME,병원은,0
2247.0,PEAGAME,외쳐요,0
2248.0,PEAGAME,제가요,0
2249.0,PEAGAME,옛적에,0
2250.0,PEAGAME,웨하스,0
2251.0,PEAGAME,거예요,0
2252.0,PEAGAME,체중계,0
2253.0,PEAGAME,예뻤어,0
2254.0,VENDINGMACHINEGA,소원은,0
2255.0,VENDINGMACHINEGA,옛날에,0
2256.0,VENDINGMACHINEGA,괴롭혀,0
2257.0,VENDINGMACHINEGA,괴상해,0
2258.0,VENDINGMACHINEGA,튀겼어,0
2259.0,PEAGAME,완두콩,0
2260.0,PEAGAME,굉장해,0
2261.0,PEAGAME,화살통,0
2262.0,PEAGAME,꾀꼬리,0
2263.0,PEAGAME,살쾡이,0
2264.0,PEAGAME,최고,0
2265.0,PEAGAME,안돼,0
2266.0,PEAGAME,웨딩,0
2267.0,PEAGAME,쉬워,0
2268.0,VENDINGMACHINEGA,도와줘,0
2269.0,VENDINGMACHINEGA,유치원,0
2270.0,VENDINGMACHINEGA,뭐예요,0
2271.0,VENDINGMACHINEGA,위험해,0
2272.0,FRUITPUZZLEGAME,거리,0
2273.0,FRUITPUZZLEGAME,어부,0
2274.0,FRUITPUZZLEGAME,저기,0
2275.0,FRUITPUZZLEGAME,미로,0
2276.0,FRUITPUZZLEGAME,레오,0
2277.0,PLAYGROUND,베리,0
2278.0,PLAYGROUND,소개,0
2279.0,HITHITGAME,고리,0
2280.0,VENDINGMACHINEGA,다리미,1
2281.0,VENDINGMACHINEGA,마시다,1
2282.0,VENDINGMACHINEGA,사다리,1
2283.0,VENDINGMACHINEGA,나가다,1
2284.0,VENDINGMACHINEGA,자르다,1
2285.0,PEAGAME,바가지,0
2286.0,PEAGAME,지우개,0
2287.0,PEAGAME,고구마,0
2288.0,VENDINGMACHINEGA,커피,1
2289.0,VENDINGMACHINEGA,쿠키,1
2290.0,VENDINGMACHINEGA,포크,1
